Title,Note,URL,Tags,Comment
What'z up,,https://www.google.com/maps/place/What'z+up/data=!4m2!3m1!1s0x60188ca30ccf5c27:0x98752c07b9e70812,,
CETTEN Kyoto,,https://www.google.com/maps/place/CETTEN+Kyoto/data=!4m2!3m1!1s0x600109835cf837e9:0x2da5f66dc356cb0a,,
OBJECT,,https://www.google.com/maps/place/OBJECT/data=!4m2!3m1!1s0x6000e7e42d0b74f3:0xd51ed7adc16e5b7f,,
5-key vintage&archive clothing,,https://www.google.com/maps/place/5-key+vintage%26archive+clothing/data=!4m2!3m1!1s0x60188f324e9da709:0x52b0df9c44f4a94,,
"‘käm,rad",,"https://www.google.com/maps/place/%E2%80%98k%C3%A4m,rad/data=!4m2!3m1!1s0x601adf354a33185f:0x258d66a4b420329f",,
1ten(イッテン) ブランド古着 買取 販売 ヴィンテージ・アンティークセレクト,,https://www.google.com/maps/place/1ten(%E3%82%A4%E3%83%83%E3%83%86%E3%83%B3)+%E3%83%96%E3%83%A9%E3%83%B3%E3%83%89%E5%8F%A4%E7%9D%80+%E8%B2%B7%E5%8F%96+%E8%B2%A9%E5%A3%B2+%E3%83%B4%E3%82%A3%E3%83%B3%E3%83%86%E3%83%BC%E3%82%B8%E3%83%BB%E3%82%A2%E3%83%B3%E3%83%86%E3%82%A3%E3%83%BC%E3%82%AF%E3%82%BB%E3%83%AC%E3%82%AF%E3%83%88/data=!4m2!3m1!1s0x601a2b1571c51ddb:0x4ef6243cff7fed19,,
jipae,,https://www.google.com/maps/place/jipae/data=!4m2!3m1!1s0x60188f002ee20def:0xa041668653a74fd6,,
Kuro BENZ,,https://www.google.com/maps/place/Kuro+BENZ/data=!4m2!3m1!1s0x6018f27d4f277d6b:0x4deb2a8b17b0ee24,,
豪徳寺の圧縮,,https://www.google.com/maps/place/%E8%B1%AA%E5%BE%B3%E5%AF%BA%E3%81%AE%E5%9C%A7%E7%B8%AE/data=!4m2!3m1!1s0x6018f300762d6711:0x1c589e69a6f0665,,
soke（ソーク）,,https://www.google.com/maps/place/soke%EF%BC%88%E3%82%BD%E3%83%BC%E3%82%AF%EF%BC%89/data=!4m2!3m1!1s0x6018f3147def9a81:0x76b9a981cd3f76f1,,
La Grande Lue,,https://www.google.com/maps/place/La+Grande+Lue/data=!4m2!3m1!1s0x6000db3e20bbe99d:0x1382b18149dd2e85,,
Nerdy Dogs,,https://www.google.com/maps/place/Nerdy+Dogs/data=!4m2!3m1!1s0x6018f31f3c32063f:0xc1dba317d15cf3cc,,
Boogie,,https://www.google.com/maps/place/Boogie/data=!4m2!3m1!1s0x6018ee470c3b4a95:0x6b5ad456e76d2fd4,,
nook,,https://www.google.com/maps/place/nook/data=!4m2!3m1!1s0x6018f4d8913bffff:0x115682bd1727ab6c,,
GARAGE SHOP 246店,,https://www.google.com/maps/place/GARAGE+SHOP+246%E5%BA%97/data=!4m2!3m1!1s0x6018f498bb627cf7:0x150ed9efb9ddac84,,
