japan stores ready for sql file
Title,Note,URL,Resolved Name,Formatted Address,Latitude,Longitude,Place ID,Photo URL,Photo Attribution,Website,Neighborhood,Instagram,Description
LAF ARCHIVES,,https://www.google.com/maps/place/LAF+ARCHIVES/data=!4m2!3m1!1s0x6000e70032ad17a7:0x707f0d066da3ae28,LAF ARCHIVES,"Japan, 〒530-0015 Osaka, Kita Ward, Nakazakinishi, 1-chōme−9−１５ オアシスナカザキ 204",34.7086148,135.5036682,ChIJpxetMgDnAGARKK6jbQYNf3A,,,,Nakazakicho,,LAF ARCHIVES — Designer/archival fashion retailer located in Kita.
LVMY LND,,https://www.google.com/maps/place/LVMY+LND/data=!4m2!3m1!1s0x6018f38dfb065a2f:0x79a1e2d1c3b0beb3,LVMY LND,"Japan, 〒164-0001 Tokyo, Nakano City, Nakano, 5-chōme−1−１１ ヴィラ石井 1F",35.7067096,139.6717671,ChIJL1oG-43zGGARs76ww9HioXk,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2c1U1c1_s-WM9H0vj1ZiDbaNnnsAQ8uzIjElrj5Zc3F4OvXQ-2e0gj0ZVVexgM1s55ijVzIpUkwK8IctmzzHg6T4tSdDdi8xT3DSY9X3WEQIUZ1Jacw9oxVpTiVta47oE0LUUSVsoF55bZae7f_uuuJYlh6QlvbK7rIs6U20IX3479GWmxfMMQ7bq6VQRrMafYt_th2aFsOTdjUIW1XEr7n7f42-NSc_0LClkz3xqHDxcVWo-3FadXJJTBLj6S2VNy60EUPKBrjLr_Q9Gx7YROo3bEq9ILqVOyb96PqGfzQlQ&key=AIzaSyDbYxOTi_JkL5n_Sw2smuMrstVxX34WU0E,<a href=https://maps.google.com/maps/contrib/102867067498063226390>LVMY LND</a>,https://www.instagram.com/lvmylnd/,Nakano,@lvmylnd,"LVMY LND — Fashion boutique / clothing store located in Nakano. Info: @lvmylnd, website."
VNL,VNL (samuel finch sister store),"https://www.google.com/maps/place/%E3%80%92542-0081+Osaka,+Chuo+Ward,+Minamisenba,+4-ch%C5%8Dme%E2%88%928%E2%88%928+DAZZ+COMPLEX/data=!4m2!3m1!1s0x6000e71b74e7f01b:0x4f55e255ee39c12e",branche,"Japan, 〒542-0081 Osaka, Chuo Ward, Minamisenba, 4-chōme−8−８ DAZZ COMPLEX 2F",34.6777168,135.4990754,ChIJgdZkKBfnAGARoN4HT9RZ3rE,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2fO0RR5G3reCpBGGRsXOGtWGE2V1gyOYFgHfUtMWF87bV9qonZL-rURK23uuRsNTDhv3kmYS5SsaFv9c35aCS_oM6AZH1Km1GQlxdPVXW4TX4IXEoIsj7JlCI3i4kwJwXXxPetxxYu-3G0IIIkpCcmxA1FS8i5uWIIhY86NaFEt-48ex1etKbiRIeO_gjnoanEYs4HgiPXhQr0gv2RubiVJP-8StJn0wTxllgzIDF77Uv1LBVsMhY9dbyYW5ukEfgHFpJ8NDnzao6U49cjiIEBM5XhTNootZuthBN74alMZEHzo1uFLAM-dzPNwcV1YRN3RNB2-CpRJDxyLHBer3-QwisT0oCDTtApl_djQjMlU5JHe6Vf1Pa6J8j0L-4AEWf2Epe2ZIgu8Ar_CWTj3uGQTmnAubrRuHwd_QR03YeQj4w&key=AIzaSyDbYxOTi_JkL5n_Sw2smuMrstVxX34WU0E,<a href=https://maps.google.com/maps/contrib/103302615199041760852>branche</a>,https://branche.official.ec/,Shinsaibashi,@branche.official,"branche — Fashion boutique / clothing store located in Chuo. Info: @branche.official, website."
Santo-nibunno-ichi,,https://www.google.com/maps/place/Santo-nibunno-ichi/data=!4m2!3m1!1s0x6000e710660759cb:0x9eaadda34c227603,Santo-nibunno-ichi,"Japan, 〒542-0086 Osaka, Chuo Ward, Nishishinsaibashi, 1-chōme−16−１５ 川西ビル 2F",34.6724883,135.4977179,ChIJy1kHZhDnAGARA3YiTKPdqp4,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2eaI0lEPUIBYHUx5pbv6UCcYiM5t2anHgrcFddPy-TZ5suPB2g4zQ3MeXtL_aCXZ7a-3ujmGFMusLnMqzWYTVDQcwDhab5CYGZA8Dkh4YaeWE1XmYq8MMvji6kaR4ZDaIUxl8yOnsO2wCRdoHsId9uTg70R82f4olHyPtkmhHtD-3p_cVbrZqw0T_95-5Q7CYLF8zWmGwxr6YfD9hDP3faLcG6V9sNxMhZTurUWbn4xj4p417j5cixPomxaezy43rALXew0c_bbWBA8lRE0flcyb6o0e51UF5kZ4XoUUfloCfm-iSQjQMDgKQYESu6e4YSqf4vzS1rvzypvc-0ifHXPxDk4kA7dKt0_d5BflXFkkUCJZYEE2cW7Y_V1B13_FfNUwBHYS06v7EACJKVQFyZuhxjpibslOCifRCtQLVD6JA&key=AIzaSyDbYxOTi_JkL5n_Sw2smuMrstVxX34WU0E,<a href=https://maps.google.com/maps/contrib/110782276238537381810>Oka Nori</a>,,Shinsaibashi,,Santo-nibunno-ichi — Fashion boutique / clothing store located in Chuo.
ether,,https://www.google.com/maps/place/ether/data=!4m2!3m1!1s0x60188d9d38d32bdf:0x7a388856b4eb5569,エーテル,"Japan, 〒465-0024 Aichi, Nagoya, Meito Ward, Hongō, 2-chōme−５４−１ 本郷ミユキビル",35.1768146,137.0130244,ChIJWUB-DgBlA2ARfmAl82QuOCo,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2e5WHgpMFPXrZYcWLhiOmER7UvLFJMkUvqit29PgHpBzZr8W5xpg7CJkoi9OKEjM2lSxn3S6iUU9TH7VFmHk2Vj6oAKh64yjV75NX079kZnFwUIE3oTpIsYVDpk_Ag5hgpcqCx2cQdg0yGttS393dENc38vAVAh5uhXYWCVToLrEtvafksiyXtro_IddyKmLC2efMUA2bBNd6tuRowGRw63_kGjrYOB4HZvKiFUJL0J5NpDZbWrpTitd8slcUS2Emwgz1l70jAlssj8yhXseZ9f9rTCSiBQZ7HEfSDUiLry-oYoWYHfVPqv7hWfV_xxLHDcg14q4R6Ek9YTsEE23-jyE7FU11zemLQRc7zVRs9YwyEya1e2qv1EWrHNv9hqFX22f7CH9yvEUOPQV430fnXDCLutp9jaVS0WC-eXzQ_DZw&key=AIzaSyDbYxOTi_JkL5n_Sw2smuMrstVxX34WU0E,<a href=https://maps.google.com/maps/contrib/109204244267177369428>Y S</a>,https://www.instagram.com/ether_02,Nagoya,@ether_02,"エーテル — Fashion boutique / clothing store located in Nagoya. Info: @ether_02, website."
古着屋PARER綾瀬店,,https://www.google.com/maps/place/%E5%8F%A4%E7%9D%80%E5%B1%8BPARER%E7%B6%BE%E7%80%AC%E5%BA%97/data=!4m2!3m1!1s0x60188f7fc32cc839:0xad1764ef8c843f13,古着屋PARER綾瀬店,"Japan, 〒120-0004 Tokyo, Adachi City, Higashiayase, 1-chōme−26−７ 東綾瀬ハイツ 1",35.7661526,139.8311357,ChIJOcgsw3-PGGAREz-EjO9kF60,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2dV8N3KI-K2tF3UBFjeKPZVZdqqxSpOHju8RwfC-G3ecqs-AEeBNqTJCwBCTr7eFUVhqFv9Q-ETh4SiH1VuXAyGYX3EP14ENg28oFn3hEHMjFl2P-pyl8K1BMjbajuGNXKsvFQvpL2yOo20uz-0OvQZ2sWf6K1kGVi4FYSed559Ff0dni4vZ6Nfpc0vYteQ4hGokFEq9UsqJtHwO8K4Jnbs-9a5NMk7UQKyZqLyx5ci6NsYGvv4lIuMm24V1RS6FGWTGBjAcXqLxeNbN9CbB7wUTAwU5kwvKkaBMdSr5HuJDg&key=AIzaSyDbYxOTi_JkL5n_Sw2smuMrstVxX34WU0E,<a href=https://maps.google.com/maps/contrib/117285034298429104276>古着屋PARER綾瀬店</a>,https://www.instagram.com/parer.ayase?igsh=MXBwYmswa3VzenNxeA==&utm_source=qr,,@parer.ayase,"古着屋PARER綾瀬店 — Vintage and used clothing shop located in Adachi. Info: @parer.ayase, website."
mementos 2号店,,https://www.google.com/maps/place/mementos+2%E5%8F%B7%E5%BA%97/data=!4m2!3m1!1s0x6000e70030d2ada1:0xf867738263570478,mementos 2号店,"1-chōme-2-17 Kitahorie, Nishi Ward, Osaka, 550-0014, Japan",34.6728963,135.4968041,ChIJoa3SMADnAGAReARXY4JzZ_g,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2fpnreKpfzMOhJRM4yXcsfHhYdUvBWKBEhx6D6nMzUU1Isd01JjCij6j_yrvITOXJxQDaUPOLzJnEb9tmrFkBzl7Djom-qcgi45k3S_RR-UuOfdrlc_pHw4f0Z8ng2mS_kZQR4W4HP18Nh0TPaVO9KvmLovR_oRZTefYVBPttNO-9vbCHuGBJIM-gvInrdKhoaUoSnOwRFp7lQxmYHUEW-mEGJbt93M5ZAFfScwgVB6Ost4ZHPqHUUeg5P-uVHmMAf67KvkRySmZRu9HzUFYyRF_mZcqe6ix8cORshTQDdJ1uNuZP9SeUhRl50bt3A4YyGEYU9JnymE-B43YKV0dhG_Rhu4bdgNuNO9BUCuEakxqmkOspylWFLF6PrbPBUNmSJpPHbZs4jvASfQZK_kPXNE7MbMmtCG2wR3xLRSsLpHIw&key=AIzaSyDbYxOTi_JkL5n_Sw2smuMrstVxX34WU0E,<a href=https://maps.google.com/maps/contrib/114678239392793392205>藤井孔二</a>,https://www.mementos-jp.com/,Horie,,mementos 2号店 — Fashion boutique / clothing store located in Kita.
mementos 1号店,,https://www.google.com/maps/place/mementos+1%E5%8F%B7%E5%BA%97/data=!4m2!3m1!1s0x6000e7054f20e7bd:0x3ae6939f07bb8aeb,mementos 1号店,"1-chōme-5-2 Kitahorie, Nishi Ward, Osaka, 550-0014, Japan",34.673879,135.496463,ChIJvecgTwXnAGAR64q7B5-T5jo,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2fAmcW54h4Et-XSLUoTpj2iA4rFrHzL73qcuKg5RsYo09dssSQZKQohjDUeOK-0onQ3vbt8IEhJ8VCe6GVydWZoZdY5Cs5R8n1TCIG-umY_N2tYhKiIFmghlR9J4M6ACLuFqgFfpYbO3HnRBNsx9KNqLEtrt8fuu7v6YkHN_pdOZynqvCoFvKi_klk5qzjCpN6qGkHT-JrML7z3qym6Z5jfD6Vx2maESsaPmONK8T8JIhZR8Odcq8sAJfoeLxdMUTJiOEjfaJ-myXs7un8durDhnZZU4901RzN4NXubGdx9dY_mRTVLKI1do7TYcWzYCwAG_5q0yVK1iq-y7RqKTVALY-ZjL9Xn7BxU7GHqjM5bavJ2A2yWXG44t_DaDX_m2AOhrojZDBLPyZfa4gLLDYlpQ2OeQWPc01jt6MTbHm6YLg&key=AIzaSyDbYxOTi_JkL5n_Sw2smuMrstVxX34WU0E,<a href=https://maps.google.com/maps/contrib/101347985376138348978>はっしー</a>,https://www.mementos-jp.com/,Horie,,mementos 1号店 — Fashion boutique / clothing store located in Kita.
PROVIDÉNCE,,https://www.google.com/maps/place/PROVID%C3%89NCE/data=!4m2!3m1!1s0x6000e7722d3b58c7:0xa5f3b559eb5b47d7,PROVIDÉNCE,"Sander Sinsaibashi Bldg., 701 1-chōme-13-5 Nishishinsaibashi, Chuo Ward, Osaka, 542-0086, Japan",34.674837,135.499021,ChIJx1g7LXLnAGAR10db61m186U,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2f-4p59f6Bnys_Qd5_57TR5VI3Dh5j4d9jqoFbvIgdbBmEySG-2aOF3ItCltfThIOOdtSGoJ_VY3l21jgP72t4RaVupVeBa2K02TOQPG-J0jjUOMqhXfdc-QP7Ocv0EwqYtke-G2Xic0jR_dfJXWT0-00idiJnTOXOWFQvB51qzkGU_BfYtpZCcsmLbq9pHUBi9Y-lhq9wGs5v17kwIaJt3QNKRQvvqV4o5Th5VwFCBpMM8KK2cwAfNoXCv8JLaTHRnQOkis4h7dNmDi6WGub_qWGyZ7fTUwW4Y9jju4ZFTGQ&key=AIzaSyDbYxOTi_JkL5n_Sw2smuMrstVxX34WU0E,<a href=https://maps.google.com/maps/contrib/112269075892429132189>PROVIDÉNCE</a>,https://providenece.base.shop/,Shinsaibashi,,PROVIDÉNCE — Fashion boutique / clothing store located in Chuo.
SINUS.,,https://www.google.com/maps/place/SINUS./data=!4m2!3m1!1s0x5f8fc3004445640f:0x148cbe4114152a5b,SINUS.,"9-5 Higashidōrinakamachi, Akita, 010-0003, Japan",39.7140714,140.1336897,ChIJD2RFRADDj18RWyoVFEG-jBQ,,,,Kita,,SINUS. — Fashion boutique / clothing store located in Kita.
