Rank,Store Name,City,Neighborhood,URL,Priority Score,Saves,Hauls,Photos,Verified,Has Description,Category
1,"Brooch Nakameguro","Tokyo","Nakameguro","https://lostintransitjp.com/store/brooch-nakameguro-tokyo",215,0,0,11,Yes,"Yes","Fashion"
2,"Brooch Omotesando","Tokyo","Omotesando","https://lostintransitjp.com/store/brooch-omotesando-tokyo",215,0,0,11,Yes,"Yes","Fashion"
3,"'bout","Tokyo","Asakusabashi","https://lostintransitjp.com/store/bout-tokyo",200,0,0,6,Yes,"Yes","Fashion"
4,"RINKAN Shibuya","Tokyo","Shibuya","https://lostintransitjp.com/store/rinkan-shibuya-tokyo",195,0,0,5,Yes,"Yes","Fashion"
5,"American Graffiti","Tokyo","Komae","https://lostintransitjp.com/store/american-graffiti-tokyo",195,0,0,5,Yes,"Yes","Home Goods"
6,"per-aah","Tokyo","Sangenjaya","https://lostintransitjp.com/store/per-aah-tokyo",195,0,0,5,Yes,"Yes","Fashion"
7,"MOGI Folk Art","Tokyo","Koenji","https://lostintransitjp.com/store/mogi-folk-art-tokyo",195,0,0,5,Yes,"Yes","Home Goods"
8,"Yamastore","Osaka","Nakazakicho","https://lostintransitjp.com/store/yamastore-osaka",195,0,0,5,Yes,"Yes","Fashion"
9,"seam used clothing","Tokyo","Shibuya","https://lostintransitjp.com/store/seam-used-clothing-tokyo",195,0,0,5,Yes,"Yes","Fashion"
10,"PULP VINTAGE","Tokyo","Sangenjaya","https://lostintransitjp.com/store/pulp-vintage-tokyo",195,0,0,5,Yes,"Yes","Fashion"
11,"charlie（チャーリー）","Tokyo","Koenji","https://lostintransitjp.com/store/charlie-tokyo",195,0,0,5,Yes,"Yes","Fashion"
12,"sui vintage","Tokyo","Sangenjaya","https://lostintransitjp.com/store/sui-vintage-tokyo",195,0,0,5,Yes,"Yes","Fashion"
13,"sinot.clothing","Tokyo","Yoyogi","https://lostintransitjp.com/store/sinotclothing-tokyo",195,0,0,5,Yes,"Yes","Fashion"
14,"RAGTAG Harajuku","Tokyo","Harajuku","https://lostintransitjp.com/store/ragtag-harajuku-tokyo",195,0,0,5,Yes,"Yes","Fashion"
15,"fini Asagi Antiques","Tokyo","Yoyogi","https://lostintransitjp.com/store/fini-asagi-antiques-tokyo",195,0,0,5,Yes,"Yes","Fashion"
16,"iti vintage clothing & humor","Tokyo","Kichijoji","https://lostintransitjp.com/store/iti-vintage-clothing-humor-tokyo",195,0,0,5,Yes,"Yes","Fashion"
17,"FOLLIEE. 下北沢の古着屋と見せかけて池ノ上","Tokyo","Shimokitazawa","https://lostintransitjp.com/store/folliee-tokyo",195,0,0,5,Yes,"Yes","Fashion"
18,"PAT MARKET IKEBUKURO","Tokyo","Ikebukuro","https://lostintransitjp.com/store/pat-market-ikebukuro-tokyo",195,0,0,5,Yes,"Yes","Fashion"
19,"TRAMPOT","Tokyo","Gakugei-Daigaku","https://lostintransitjp.com/store/trampot-tokyo",195,0,0,5,Yes,"Yes","Fashion"
20,"Qont","Tokyo","Shibuya","https://lostintransitjp.com/store/qont-tokyo",195,0,0,5,Yes,"Yes","Fashion"
21,"LeeLoo","Tokyo","Shibuya","https://lostintransitjp.com/store/leeloo-tokyo",195,0,0,5,Yes,"Yes","Fashion"
22,"LVMY LND","Tokyo","Nakano","https://lostintransitjp.com/store/lvmy-lnd-tokyo",195,0,0,5,Yes,"Yes","Fashion"
23,"酔服屋 YOUFUKUYA","Tokyo","Harajuku","https://lostintransitjp.com/store/youfukuya-tokyo",195,0,0,5,Yes,"Yes","Fashion"
24,"KAKKO","Tokyo","Shimokitazawa","https://lostintransitjp.com/store/kakko-tokyo",195,0,0,5,Yes,"Yes","Fashion"
25,"olgou","Tokyo","Nakameguro","https://lostintransitjp.com/store/olgou-tokyo",195,0,0,5,Yes,"Yes","Fashion"
26,"NEOTENY","Tokyo","Kuramae","https://lostintransitjp.com/store/neoteny-tokyo",195,0,0,5,Yes,"Yes","Fashion"
27,"RAIN 古着","Osaka","Shinsaibashi","https://lostintransitjp.com/store/rain-osaka",195,0,0,5,Yes,"Yes","Fashion"
28,"Grange","Tokyo","Koenji","https://lostintransitjp.com/store/grange-tokyo",195,0,0,5,Yes,"Yes","Fashion"
29,"ether","Tokyo","Aoyama","https://lostintransitjp.com/store/ether-tokyo",195,0,0,5,Yes,"Yes","Fashion"
30,"WORN","Tokyo","Gakugei-Daigaku","https://lostintransitjp.com/store/worn-tokyo",195,0,0,5,Yes,"Yes","Fashion"
31,"ayahuasca_clothes","Tokyo","Yoyogi","https://lostintransitjp.com/store/ayahuasca_clothes-tokyo",195,0,0,5,Yes,"Yes","Fashion"
32,"aaar","Tokyo","Shibuya","https://lostintransitjp.com/store/aaar-tokyo",195,0,0,5,Yes,"Yes","Fashion"
33,"CETTEN サクラビル店 /中崎町古着屋/Nakazaki-cho used clothing shop","Osaka","Nakazakicho","https://lostintransitjp.com/store/cetten-nakazaki-cho-used-clothing-shop-osaka",195,0,0,5,Yes,"Yes","Fashion"
34,"Chicago Harajuku","Tokyo","Harajuku","https://lostintransitjp.com/store/chicago-harajuku-tokyo",195,0,0,5,Yes,"Yes","Fashion"
35,"from_Antique","Tokyo","Komae","https://lostintransitjp.com/store/from_antique-tokyo",195,0,0,5,Yes,"Yes","Fashion"
36,"Murakami Store（Tonari no Zingaro）","Tokyo","Nakano","https://lostintransitjp.com/store/murakami-storetonari-no-zingaro-tokyo",195,0,0,5,Yes,"Yes","Fashion"
37,"N.VINTAGE","Tokyo","Kichijoji","https://lostintransitjp.com/store/nvintage-tokyo",195,0,0,5,Yes,"Yes","Fashion"
38,"KIOSQUE CC","Tokyo","Harajuku","https://lostintransitjp.com/store/kiosque-cc-tokyo",195,0,0,5,Yes,"Yes","Fashion"
39,"DROP","Tokyo","Nakameguro","https://lostintransitjp.com/store/drop-tokyo",195,0,0,5,Yes,"Yes","Fashion"
40,"Only One","Tokyo","Ikebukuro","https://lostintransitjp.com/store/only-one-tokyo",195,0,0,5,Yes,"Yes","Fashion"
41,"Witty Vintage","Tokyo","Yutenji","https://lostintransitjp.com/store/witty-vintage-tokyo",195,0,0,5,Yes,"Yes","Fashion"
42,"KIT VINTAGE","Tokyo","Aoyama","https://lostintransitjp.com/store/kit-vintage-tokyo",195,0,0,5,Yes,"Yes","Fashion"
43,"floccinaucinihilipilification","Tokyo","Shimokitazawa","https://lostintransitjp.com/store/floccinaucinihilipilification-tokyo",195,0,0,5,Yes,"Yes","Fashion"
44,"BLANK BLACK MARKET","Tokyo","Setagaya City","https://lostintransitjp.com/store/blank-black-market-tokyo",195,0,0,5,Yes,"Yes","Fashion"
